Country,Gold,Silver,Bronze,Total,Gold_lower,Gold_upper,Silver_lower,Silver_upper,Bronze_lower,Bronze_upper,Total_lower,Total_upper
Azerbaijan,1.7167644891385865,2.003025596030056,4.2532111406326285,7.041207715868948,0.4252942667896068,3.0670899791932955,0.0,8.062517747490123,0.0,10.331350897557126,0.0,18.180584867203397
Kazakhstan,0.9970678687095638,3.7845889329910274,3.012125730514525,6.991172313690184,0.0,3.759555604186593,0.0,9.7157809885746,0.0,10.363746205901244,0.0,17.42402732370908
Belgium,1.3012017703169314,1.1849516136180631,0.5699150902884345,6.83880470191122,0.0,8.254607864292861,0.0,7.783006341184249,0.0,5.61668951633622,0.0,20.894690271696614
Bulgaria,3.690624615401961,1.3697335700227282,2.1540816356427177,6.785532630327248,0.0,9.902160850219223,0.0,9.463025855688802,0.0,10.678681164022167,0.0,26.968629794651108
North_Korea,0.1063628955320876,2.7660505880009048,1.20551370490681,6.739531831307843,0.0,4.706424897908741,0.0,5.932716044970646,0.0,4.135877142226282,2.943528850318048,10.52315377276194
Israel,-0.0228313226093346,-0.0053655188530683,1.9969296452434029,6.677224572768617,0.0,1.967687940520909,0.0,4.805612393926892,0.606082072735722,3.395603658500636,2.578847136760907,10.230091829336954
Switzerland,2.6337974001909217,1.8559461263631591,1.8830259367767952,6.637131065906475,0.0,7.364973651695195,0.0,7.799063144964665,0.0,8.645408043048137,0.0,22.490221123406982
Belarus,1.1196316377100806,6.6848631246399695,3.135994911193848,6.533466438622069,0.0,3.452096115110261,4.927418874420337,8.49025142233048,0.0,8.76592460106528,0.2303146020142531,13.101777638250375
Turkey,0.7147773566998938,1.054438132656914,6.036982006412868,5.70041536657434,0.0,7.454444538346951,0.0,3.875981474623837,0.8929915384984383,10.824865995327938,0.0,13.18704338243624
Jamaica,3.792547403734167,4.396450239069321,3.4790561868981573,5.5383201241493225,0.0,8.280613815145633,0.0,8.92489421630449,0.28834654019279,6.743342443719957,0.0,14.120055265684451
Cuba,4.165367279612389,2.744491937573197,5.218681168323557,5.388447660858036,0.0,11.620745251133586,0.0,8.856675999260291,0.0,13.91988495093872,0.0,18.381290027602265
Mexico,0.2233237928647558,2.979413726113059,2.423659495539934,4.89866280555725,0.0,2.5619445360616773,0.0,6.2429861392799895,0.0,4.953269332038168,0.0,10.391144962975105
Ecuador,0.0059205273334276,2.603021618986217,0.0002056567609542,4.53525590671574,0.0,1.7877772294930478,1.0293376384200197,4.327036039291814,0.0,2.200855379374604,1.1950089785198297,7.648782681517141
Egypt,0.514345619735407,1.467884644701011,2.0347393850485487,4.221811632315318,0.0,2.3098365419038105,0.3449862876745099,2.645554472214044,0.0,5.426063928475069,0.0,8.76536660180786
Colombia,0.1374413831664787,2.331373744603545,0.7933858470483257,4.054923583320998,0.0,2.497632792011671,0.0,4.951423002172619,0.0,4.249382438855274,0.0,9.050827794630528
Lithuania,0.2505758781257112,1.7190126180648804,2.337749163309733,4.0114855368932085,0.0,3.0193230230180204,0.0,4.198484196480998,0.0,5.594973576997154,0.0,8.4435112285485
Armenia,0.0003929305561078,1.999938313450132,0.9815707079001834,3.9930243577275952,0.0,1.304964657750637,0.0,4.409140963973989,0.0,3.7226882821936393,0.7333788114094103,7.332815086633792
Zimbabwe,1.0,0.0079631408055624,0.0003361680719535,3.992036859194438,0.0,2.734128540159873,0.0,3.286151267509494,0.0,1.282196706655011,0.6939889400331062,7.133527205046012
